variant,league,date,game,mapBucket,mapAdjustment,actual,line,basePrediction,adjustedPrediction,edge,evOver,evUnder,decisionSide,decisionReason,actualSide,correct,profit,draftDelta
map-25pct,LCKCL,2026-04-16,Gen.G Global Academy vs Hanwha Life Esports Challengers,BO3 G1,-0.06,48,34.5,32.71,32.65,-1.85,-0.2443,0.0443,,EV baixo,over,,0,-2.22
map-25pct,LCKCL,2026-04-16,Gen.G Global Academy vs Hanwha Life Esports Challengers,BO3 G2,0.13,39,36.5,35.03,35.15,-1.35,-0.2055,0.0055,,EV baixo,over,,0,-1.82
map-25pct,LCKCL,2026-04-16,Hanwha Life Esports Challengers vs Gen.G Global Academy,BO3 G3,-0.25,34,37.5,36.64,36.39,-1.11,-0.1867,-0.0133,,EV baixo,under,,0,-1.35
map-25pct,LCKCL,2026-04-16,DN SOOPers Challengers vs KRX Challengers,BO3 G1,-0.06,30,37.5,35.51,35.44,-2.06,-0.26,0.06,under,EV + edge,under,true,0.8,-1.6
map-25pct,LCKCL,2026-04-16,DN SOOPers Challengers vs KRX Challengers,BO3 G2,0.13,36,36.5,35.49,35.61,-0.89,-0.1696,-0.0304,,EV baixo,under,,0,-1
map-25pct,LCKCL,2026-04-16,DN SOOPers Challengers vs KRX Challengers,BO3 G3,-0.25,21,36.5,35.56,35.31,-1.19,-0.1929,-0.0071,,EV baixo,under,,0,-1.3
map-25pct,LCKCL,2026-04-17,T1 Esports Academy vs Dplus KIA Challengers,BO3 G1,-0.06,34,34.5,34.01,33.95,-0.55,-0.1433,-0.0567,,EV baixo,under,,0,-0.96
map-25pct,LCKCL,2026-04-17,T1 Esports Academy vs Dplus KIA Challengers,BO3 G2,0.13,42,34.5,33.45,33.57,-0.93,-0.1728,-0.0272,,EV baixo,over,,0,-1.26
map-25pct,LCKCL,2026-04-17,BNK FEARX Youth vs HANJIN BRION Challengers,BO3 G1,-0.06,23,35.5,32.99,32.92,-2.58,-0.2995,0.0995,under,EV + edge,under,true,0.8,-2.45
map-25pct,LCKCL,2026-04-17,BNK FEARX Youth vs HANJIN BRION Challengers,BO3 G2,0.13,34,33.5,33.17,33.3,-0.2,-0.116,-0.084,,EV baixo,over,,0,-0.66
map-25pct,LCKCL,2026-04-20,Nongshim Esports Academy vs Gen.G Global Academy,BO3 G1,-0.06,19,34.5,33.75,33.69,-0.81,-0.1637,-0.0363,,EV baixo,under,,0,-1.17
map-25pct,LCKCL,2026-04-20,Nongshim Esports Academy vs Gen.G Global Academy,BO3 G2,0.13,33,33.5,32.96,33.08,-0.42,-0.1327,-0.0673,,EV baixo,under,,0,-0.83
map-25pct,LCKCL,2026-04-20,KT Rolster Challengers vs BNK FEARX Youth,BO3 G1,-0.06,38,33.5,33.59,33.53,0.03,-0.0977,-0.1023,,EV baixo,over,,0,-0.16
map-25pct,LCKCL,2026-04-20,BNK FEARX Youth vs KT Rolster Challengers,BO3 G2,0.13,32,34.5,34.23,34.36,-0.14,-0.111,-0.089,,EV baixo,under,,0,0.09
map-25pct,LCKCL,2026-04-20,KT Rolster Challengers vs BNK FEARX Youth,BO3 G3,-0.25,40,33.5,32.59,32.34,-1.16,-0.1911,-0.0089,,EV baixo,over,,0,-1.13
map-25pct,LCKCL,2026-04-21,KRX Challengers vs Dplus KIA Challengers,BO3 G1,-0.06,16,32.5,30.53,30.47,-2.03,-0.2581,0.0581,under,EV + edge,under,true,0.8,-2.14
map-25pct,LCKCL,2026-04-21,KRX Challengers vs Dplus KIA Challengers,BO3 G2,0.13,24,30.5,30.04,30.17,-0.33,-0.1259,-0.0741,,EV baixo,under,,0,-0.52
map-25pct,LCKCL,2026-04-21,KRX Challengers vs Dplus KIA Challengers,BO3 G3,-0.25,21,29.5,29.92,29.67,0.17,-0.0867,-0.1133,,EV baixo,under,,0,0.2
map-25pct,LCKCL,2026-04-21,DN SOOPers Challengers vs Hanwha Life Esports Challengers,BO3 G1,-0.06,30,32.5,31.75,31.69,-0.81,-0.1633,-0.0367,,EV baixo,under,,0,-0.28
map-25pct,LCKCL,2026-04-21,Hanwha Life Esports Challengers vs DN SOOPers Challengers,BO3 G2,0.13,17,31.5,33.11,33.24,1.74,0.0357,-0.2357,,EV baixo,under,,0,1.38
map-25pct,LCKCL,2026-04-21,DN SOOPers Challengers vs Hanwha Life Esports Challengers,BO3 G3,-0.25,34,29.5,31.34,31.09,1.59,0.0239,-0.2239,,EV baixo,over,,0,1.57
map-25pct,LCKCL,2026-04-23,HANJIN BRION Challengers vs KRX Challengers,BO3 G1,-0.06,20,29.5,30.79,30.73,1.23,-0.004,-0.196,,EV baixo,under,,0,1.26
map-25pct,LCKCL,2026-04-23,HANJIN BRION Challengers vs KRX Challengers,BO3 G2,0.13,31,27.5,29.13,29.25,1.75,0.0368,-0.2368,,EV baixo,over,,0,1.18
map-25pct,LCKCL,2026-04-23,Hanwha Life Esports Challengers vs Dplus KIA Challengers,BO3 G1,-0.06,17,28.5,29.35,29.28,0.78,-0.0385,-0.1615,,EV baixo,under,,0,1
map-25pct,LCKCL,2026-04-23,Hanwha Life Esports Challengers vs Dplus KIA Challengers,BO3 G2,0.13,31,27.5,28.55,28.68,1.18,-0.0079,-0.1921,,EV baixo,over,,0,1.48
map-25pct,LCKCL,2026-04-23,Hanwha Life Esports Challengers vs Dplus KIA Challengers,BO3 G3,-0.25,15,27.5,28.54,28.29,0.79,-0.0381,-0.1619,,EV baixo,under,,0,1.42
map-25pct,LCKCL,2026-04-24,Gen.G Global Academy vs KT Rolster Challengers,BO3 G1,-0.06,37,28.5,30.16,30.1,1.6,0.0248,-0.2248,,EV baixo,over,,0,1.83
map-25pct,LCKCL,2026-04-24,KT Rolster Challengers vs Gen.G Global Academy,BO3 G2,0.13,45,29.5,30.81,30.93,1.43,0.012,-0.212,,EV baixo,over,,0,1.71
map-25pct,LCKCL,2026-04-24,Nongshim Esports Academy vs DN SOOPers Challengers,BO3 G1,-0.06,34,29.5,29.99,29.93,0.43,-0.0666,-0.1334,,EV baixo,over,,0,0.47
map-25pct,LCKCL,2026-04-24,Nongshim Esports Academy vs DN SOOPers Challengers,BO3 G2,0.13,28,30.5,31.09,31.21,0.71,-0.0443,-0.1557,,EV baixo,under,,0,1.07
map-25pct,LCKCL,2026-04-24,Nongshim Esports Academy vs DN SOOPers Challengers,BO3 G3,-0.25,33,28.5,30.38,30.13,1.63,0.0274,-0.2274,,EV baixo,over,,0,1.4
map-25pct,LCKCL,2026-04-25,HANJIN BRION Challengers vs T1 Esports Academy,BO3 G1,-0.06,30,30.5,30.37,30.3,-0.2,-0.1155,-0.0845,,EV baixo,under,,0,0.11
map-25pct,LCKCL,2026-04-25,T1 Esports Academy vs HANJIN BRION Challengers,BO3 G2,0.13,19,30.5,30.62,30.74,0.24,-0.0808,-0.1192,,EV baixo,under,,0,0.58
map-25pct,LCKCL,2026-04-26,BNK FEARX Youth vs T1 Esports Academy,BO3 G1,-0.06,28,29.5,30.11,30.05,0.55,-0.0572,-0.1428,,EV baixo,under,,0,0.5
map-25pct,LCKCL,2026-04-26,T1 Esports Academy vs BNK FEARX Youth,BO3 G2,0.13,31,29.5,30.97,31.1,1.6,0.0249,-0.2249,,EV baixo,over,,0,1.72
map-25pct,LCKCL,2026-04-26,BNK FEARX Youth vs T1 Esports Academy,BO3 G3,-0.25,29,29.5,30.32,30.07,0.57,-0.0553,-0.1447,,EV baixo,under,,0,0.47
map-25pct,LCKCL,2026-04-27,HANJIN BRION Challengers vs Hanwha Life Esports Challengers,BO3 G1,-0.06,21,28.5,29.5,29.44,0.94,-0.0264,-0.1736,,EV baixo,under,,0,1.32
map-25pct,LCKCL,2026-04-27,HANJIN BRION Challengers vs Hanwha Life Esports Challengers,BO3 G2,0.13,22,27.5,29.4,29.52,2.02,0.0575,-0.2575,over,EV + edge,under,false,-1,1.8
map-25pct,LCKCL,2026-04-27,Nongshim Esports Academy vs Dplus KIA Challengers,BO3 G1,-0.06,26,26.5,28.53,28.46,1.96,0.0529,-0.2529,over,EV + edge,under,false,-1,1.68
map-25pct,LCKCL,2026-04-27,Nongshim Esports Academy vs Dplus KIA Challengers,BO3 G2,0.13,30,27.5,29.43,29.55,2.05,0.0599,-0.2599,over,EV + edge,over,true,0.8,2.15
map-25pct,LCKCL,2026-04-27,Gen.G Global Academy vs DN SOOPers Challengers,BO3 G1,-0.06,36,29.5,31.36,31.29,1.79,0.0399,-0.2399,,EV baixo,over,,0,1.95
map-25pct,LCKCL,2026-04-27,DN SOOPers Challengers vs Gen.G Global Academy,BO3 G2,0.13,25,30.5,31.64,31.77,1.27,-0.0008,-0.1992,,EV baixo,under,,0,0.97
map-25pct,LCKCL,2026-04-28,KRX Challengers vs BNK FEARX Youth,BO3 G1,-0.06,40,27.5,29.52,29.46,1.96,0.0523,-0.2523,over,EV + edge,over,true,0.8,1.72
map-25pct,LCKCL,2026-04-28,BNK FEARX Youth vs KRX Challengers,BO3 G2,0.13,41,28.5,29.98,30.1,1.6,0.0249,-0.2249,,EV baixo,over,,0,1.54
map-25pct,LCKCL,2026-04-28,T1 Esports Academy vs KT Rolster Challengers,BO3 G1,-0.06,39,30.5,30.69,30.63,0.13,-0.0898,-0.1102,,EV baixo,over,,0,0.3
map-25pct,LCKCL,2026-04-28,KT Rolster Challengers vs T1 Esports Academy,BO3 G2,0.13,39,31.5,30.82,30.95,-0.55,-0.1434,-0.0566,,EV baixo,over,,0,-0.37
map-25pct,LCKCL,2026-04-28,T1 Esports Academy vs KT Rolster Challengers,BO3 G3,-0.25,32,32.5,31.91,31.66,-0.84,-0.1657,-0.0343,,EV baixo,under,,0,-0.12
map-25pct,LCKCL,2026-04-30,KT Rolster Challengers vs DN SOOPers Challengers,BO3 G1,-0.06,24,31.5,31.44,31.38,-0.12,-0.1096,-0.0904,,EV baixo,under,,0,-0.27
map-25pct,LCKCL,2026-04-30,KT Rolster Challengers vs DN SOOPers Challengers,BO3 G2,0.13,36,31.5,31.43,31.55,0.05,-0.0958,-0.1042,,EV baixo,over,,0,0.09
map-25pct,LCKCL,2026-04-30,Gen.G Global Academy vs Dplus KIA Challengers,BO3 G1,-0.06,43,30.5,30.3,30.24,-0.26,-0.1205,-0.0795,,EV baixo,over,,0,-0.17
map-25pct,LCKCL,2026-04-30,Gen.G Global Academy vs Dplus KIA Challengers,BO3 G2,0.13,30,32.5,31.4,31.52,-0.98,-0.1765,-0.0235,,EV baixo,under,,0,-0.69
map-25pct,LCKCL,2026-04-30,Gen.G Global Academy vs Dplus KIA Challengers,BO3 G3,-0.25,26,31.5,32.05,31.8,0.3,-0.0765,-0.1235,,EV baixo,under,,0,0.3
map-25pct,LCKCL,2026-04-30,HANJIN BRION Challengers vs Nongshim Esports Academy,BO3 G1,-0.06,27,31.5,30.56,30.49,-1.01,-0.1789,-0.0211,,EV baixo,under,,0,-0.49
map-25pct,LCKCL,2026-04-30,HANJIN BRION Challengers vs Nongshim Esports Academy,BO3 G2,0.13,36,30.5,31.46,31.59,1.09,-0.0149,-0.1851,,EV baixo,over,,0,0.66
map-25pct,LCKCL,2026-05-01,Hanwha Life Esports Challengers vs BNK FEARX Youth,BO3 G1,-0.06,33,31.5,31.45,31.39,-0.11,-0.1088,-0.0912,,EV baixo,over,,0,-0.48
map-25pct,LCKCL,2026-05-01,BNK FEARX Youth vs Hanwha Life Esports Challengers,BO3 G2,0.13,31,32.5,33.05,33.17,0.67,-0.0473,-0.1527,,EV baixo,under,,0,0.9
map-25pct,LCKCL,2026-05-01,BNK FEARX Youth vs Hanwha Life Esports Challengers,BO3 G3,-0.25,24,32.5,32.1,31.85,-0.65,-0.1509,-0.0491,,EV baixo,under,,0,0.05
map-25pct,LCKCL,2026-05-01,KRX Challengers vs T1 Esports Academy,BO3 G1,-0.06,27,31.5,31.31,31.25,-0.25,-0.1197,-0.0803,,EV baixo,under,,0,-0.53
map-25pct,LCKCL,2026-05-01,KRX Challengers vs T1 Esports Academy,BO3 G2,0.13,45,31.5,32.05,32.17,0.67,-0.0471,-0.1529,,EV baixo,over,,0,0.87
map-25pct,LCKCL,2026-05-04,DN SOOPers Challengers vs Dplus KIA Challengers,BO3 G1,-0.06,25,31.5,30.63,30.57,-0.93,-0.1727,-0.0273,,EV baixo,under,,0,-0.45
map-25pct,LCKCL,2026-05-04,DN SOOPers Challengers vs Dplus KIA Challengers,BO3 G2,0.13,28,30.5,30.41,30.53,0.03,-0.0974,-0.1026,,EV baixo,under,,0,0.2
map-25pct,LCKCL,2026-05-04,KT Rolster Challengers vs KRX Challengers,BO3 G1,-0.06,25,31.5,31.31,31.25,-0.25,-0.1195,-0.0805,,EV baixo,under,,0,0.22
map-25pct,LCKCL,2026-05-04,KRX Challengers vs KT Rolster Challengers,BO3 G2,0.13,29,30.5,30.35,30.47,-0.03,-0.102,-0.098,,EV baixo,under,,0,0.21
map-25pct,LCKCL,2026-05-04,Hanwha Life Esports Challengers vs T1 Esports Academy,BO3 G1,-0.06,23,30.5,29.9,29.84,-0.66,-0.1517,-0.0483,,EV baixo,under,,0,-0.21
map-25pct,LCKCL,2026-05-04,T1 Esports Academy vs Hanwha Life Esports Challengers,BO3 G2,0.13,34,29.5,31.55,31.68,2.18,0.0693,-0.2693,over,EV + edge,over,true,0.8,2.34
map-25pct,LCKCL,2026-05-05,Nongshim Esports Academy vs BNK FEARX Youth,BO3 G1,-0.06,26,29.5,30.56,30.5,1,-0.0217,-0.1783,,EV baixo,under,,0,0.94
map-25pct,LCKCL,2026-05-05,BNK FEARX Youth vs Nongshim Esports Academy,BO3 G2,0.13,27,29.5,30.39,30.51,1.01,-0.0209,-0.1791,,EV baixo,under,,0,1.25
map-25pct,LCKCL,2026-05-05,Nongshim Esports Academy vs BNK FEARX Youth,BO3 G3,-0.25,34,28.5,29.35,29.1,0.6,-0.0529,-0.1471,,EV baixo,over,,0,0.41
map-25pct,LCKCL,2026-05-05,HANJIN BRION Challengers vs Gen.G Global Academy,BO3 G1,-0.06,34,29.5,30.74,30.68,1.18,-0.008,-0.192,,EV baixo,over,,0,1.13
map-25pct,LCKCL,2026-05-05,HANJIN BRION Challengers vs Gen.G Global Academy,BO3 G2,0.13,38,30.5,30.56,30.68,0.18,-0.0855,-0.1145,,EV baixo,over,,0,0.54
map-25pct,LCKCL,2026-05-07,Gen.G Global Academy vs BNK FEARX Youth,BO3 G1,-0.06,33,31.5,31.62,31.55,0.05,-0.0957,-0.1043,,EV baixo,over,,0,0.44
map-25pct,LCKCL,2026-05-07,Gen.G Global Academy vs BNK FEARX Youth,BO3 G2,0.13,51,31.5,32.14,32.27,0.77,-0.0397,-0.1603,,EV baixo,over,,0,1
map-25pct,LCKCL,2026-05-07,Gen.G Global Academy vs BNK FEARX Youth,BO3 G3,-0.25,30,33.5,32.22,31.97,-1.53,-0.2195,0.0195,,EV baixo,under,,0,-1.18
map-25pct,LCKCL,2026-05-07,T1 Esports Academy vs Nongshim Esports Academy,BO3 G1,-0.06,25,32.5,30.72,30.65,-1.85,-0.244,0.044,,EV baixo,under,,0,-1.36
map-25pct,LCKCL,2026-05-07,Nongshim Esports Academy vs T1 Esports Academy,BO3 G2,0.13,53,30.5,32.08,32.21,1.71,0.0331,-0.2331,,EV baixo,over,,0,1.16
map-25pct,LCKCL,2026-05-07,Hanwha Life Esports Challengers vs KRX Challengers,BO3 G1,-0.06,23,30.5,30.03,29.97,-0.53,-0.1418,-0.0582,,EV baixo,under,,0,-0.96
map-25pct,LCKCL,2026-05-07,Hanwha Life Esports Challengers vs KRX Challengers,BO3 G2,0.13,21,29.5,30.2,30.33,0.83,-0.0351,-0.1649,,EV baixo,under,,0,0.3
map-25pct,LCKCL,2026-05-08,KT Rolster Challengers vs Dplus KIA Challengers,BO3 G1,-0.06,24,30.5,30.13,30.07,-0.43,-0.1338,-0.0662,,EV baixo,under,,0,-0.14
map-25pct,LCKCL,2026-05-08,KT Rolster Challengers vs Dplus KIA Challengers,BO3 G2,0.13,40,29.5,30.37,30.5,1,-0.0219,-0.1781,,EV baixo,over,,0,0.58
map-25pct,LCKCL,2026-05-08,HANJIN BRION Challengers vs DN SOOPers Challengers,BO3 G1,-0.06,19,30.5,30.83,30.77,0.27,-0.0791,-0.1209,,EV baixo,under,,0,0
map-25pct,LCKCL,2026-05-08,HANJIN BRION Challengers vs DN SOOPers Challengers,BO3 G2,0.13,22,29.5,29.26,29.39,-0.11,-0.1087,-0.0913,,EV baixo,under,,0,-0.13
map-25pct,LCKCL,2026-05-08,HANJIN BRION Challengers vs DN SOOPers Challengers,BO3 G3,-0.25,25,28.5,30.21,29.96,1.46,0.0143,-0.2143,,EV baixo,under,,0,1.84
map-25pct,LCKCL,2026-05-11,Nongshim Esports Academy vs KRX Challengers,BO3 G1,-0.06,27,28.5,29.7,29.63,1.13,-0.0113,-0.1887,,EV baixo,under,,0,0.7
map-25pct,LCKCL,2026-05-11,KRX Challengers vs Nongshim Esports Academy,BO3 G2,0.13,33,28.5,30.71,30.84,2.34,0.0813,-0.2813,over,EV + edge,over,true,0.8,2.22
map-25pct,LCKCL,2026-05-11,Nongshim Esports Academy vs KRX Challengers,BO3 G3,-0.25,25,28.5,28.9,28.65,0.15,-0.0879,-0.1121,,EV baixo,under,,0,0.17
map-25pct,LCKCL,2026-05-11,Gen.G Global Academy vs T1 Esports Academy,BO3 G1,-0.06,30,29.5,32,31.94,2.44,0.0889,-0.2889,over,EV + edge,over,true,0.8,2.3
map-25pct,LCKCL,2026-05-11,T1 Esports Academy vs Gen.G Global Academy,BO3 G2,0.13,31,29.5,30.3,30.42,0.92,-0.0277,-0.1723,,EV baixo,over,,0,1.01
map-25pct,LCKCL,2026-05-11,DN SOOPers Challengers vs BNK FEARX Youth,BO3 G1,-0.06,20,27.5,28.39,28.33,0.83,-0.0353,-0.1647,,EV baixo,under,,0,0.54
map-25pct,LCKCL,2026-05-11,DN SOOPers Challengers vs BNK FEARX Youth,BO3 G2,0.13,43,26.5,28.02,28.14,1.64,0.0282,-0.2282,,EV baixo,over,,0,1.42
map-25pct,LCKCL,2026-05-12,KT Rolster Challengers vs Hanwha Life Esports Challengers,BO3 G1,-0.06,42,27.5,29.3,29.24,1.74,0.0359,-0.2359,,EV baixo,over,,0,1.33
map-25pct,LCKCL,2026-05-12,KT Rolster Challengers vs Hanwha Life Esports Challengers,BO3 G2,0.13,27,28.5,29.6,29.72,1.22,-0.0042,-0.1958,,EV baixo,under,,0,0.95
map-25pct,LCKCL,2026-05-12,Dplus KIA Challengers vs HANJIN BRION Challengers,BO3 G1,-0.06,15,27.5,27.77,27.71,0.21,-0.0838,-0.1162,,EV baixo,under,,0,0.49
map-25pct,LCKCL,2026-05-12,HANJIN BRION Challengers vs Dplus KIA Challengers,BO3 G2,0.13,23,26.5,28.08,28.2,1.7,0.0328,-0.2328,,EV baixo,under,,0,1.9
map-25pct,LCKCL,2026-05-14,KT Rolster Challengers vs HANJIN BRION Challengers,BO3 G1,-0.06,30,26.5,28.31,28.24,1.74,0.0361,-0.2361,,EV baixo,over,,0,1.62
map-25pct,LCKCL,2026-05-14,HANJIN BRION Challengers vs KT Rolster Challengers,BO3 G2,0.13,23,26.5,28.98,29.1,2.6,0.1017,-0.3017,over,EV + edge,under,false,-1,2.16
map-25pct,LCKCL,2026-05-14,HANJIN BRION Challengers vs KT Rolster Challengers,BO3 G3,-0.25,26,26.5,26.46,26.21,-0.29,-0.1229,-0.0771,,EV baixo,under,,0,0.37
map-25pct,LCKCL,2026-05-14,Dplus KIA Challengers vs BNK FEARX Youth,BO3 G1,-0.06,30,26.5,28.09,28.03,1.53,0.0194,-0.2194,,EV baixo,over,,0,1.42
map-25pct,LCKCL,2026-05-14,BNK FEARX Youth vs Dplus KIA Challengers,BO3 G2,0.13,17,27.5,29.61,29.73,2.23,0.0734,-0.2734,over,EV + edge,under,false,-1,2.29
map-25pct,LCKCL,2026-05-14,Dplus KIA Challengers vs BNK FEARX Youth,BO3 G3,-0.25,25,25.5,26.93,26.68,1.18,-0.0074,-0.1926,,EV baixo,under,,0,1.08
map-25pct,LCKCL,2026-05-14,DN SOOPers Challengers vs T1 Esports Academy,BO3 G1,-0.06,44,26.5,28.17,28.11,1.61,0.0257,-0.2257,,EV baixo,over,,0,1.67
map-25pct,LCKCL,2026-05-14,DN SOOPers Challengers vs T1 Esports Academy,BO3 G2,0.13,37,27.5,30.46,30.58,3.08,0.1375,-0.3375,over,EV + edge,over,true,0.8,2.47
map-25pct,LCKCL,2026-05-14,DN SOOPers Challengers vs T1 Esports Academy,BO3 G3,-0.25,39,28.5,28.75,28.5,0,-0.0997,-0.1003,,EV baixo,over,,0,-0.01
map-25pct,LCKCL,2026-05-15,Gen.G Global Academy vs KRX Challengers,BO3 G1,-0.06,18,28.5,29.33,29.27,0.77,-0.0396,-0.1604,,EV baixo,under,,0,0.77
map-25pct,LCKCL,2026-05-15,Gen.G Global Academy vs KRX Challengers,BO3 G2,0.13,23,27.5,29.06,29.19,1.69,0.0319,-0.2319,,EV baixo,under,,0,1.64
map-25pct,LCKCL,2026-05-15,Nongshim Esports Academy vs Hanwha Life Esports Challengers,BO3 G1,-0.06,25,26.5,27.78,27.72,1.22,-0.0047,-0.1953,,EV baixo,under,,0,1.54
map-25pct,LCKCL,2026-05-15,Nongshim Esports Academy vs Hanwha Life Esports Challengers,BO3 G2,0.13,29,25.5,26.26,26.39,0.89,-0.0303,-0.1697,,EV baixo,over,,0,0.9
map-25pct,LCKCL,2026-05-15,Hanwha Life Esports Challengers vs Nongshim Esports Academy,BO3 G3,-0.25,30,25.5,27.48,27.23,1.73,0.0352,-0.2352,,EV baixo,over,,0,1.84
map-25pct,LCKCL,2026-05-18,Dplus KIA Challengers vs T1 Esports Academy,BO3 G1,-0.06,29,27.5,29.72,29.66,2.16,0.068,-0.268,over,EV + edge,over,true,0.8,2.39
map-25pct,LCKCL,2026-05-18,T1 Esports Academy vs Dplus KIA Challengers,BO3 G2,0.13,42,27.5,28.66,28.79,1.29,0.0009,-0.2009,,EV baixo,over,,0,1.1
map-25pct,LCKCL,2026-05-18,DN SOOPers Challengers vs KRX Challengers,BO3 G1,-0.06,21,27.5,28.12,28.05,0.55,-0.0565,-0.1435,,EV baixo,under,,0,0.25
map-25pct,LCKCL,2026-05-18,DN SOOPers Challengers vs KRX Challengers,BO3 G2,0.13,25,27.5,29.33,29.45,1.95,0.0522,-0.2522,over,EV + edge,under,false,-1,2.27
map-25pct,LCKCL,2026-05-18,KRX Challengers vs DN SOOPers Challengers,BO3 G3,-0.25,10,26.5,27.95,27.7,1.2,-0.0058,-0.1942,,EV baixo,under,,0,1.16
map-25pct,LCKCL,2026-05-18,Gen.G Global Academy vs Hanwha Life Esports Challengers,BO3 G1,-0.06,39,26.5,29.8,29.74,3.24,0.1488,-0.3488,over,EV + edge,over,true,0.8,3.24
map-25pct,LCKCL,2026-05-18,Hanwha Life Esports Challengers vs Gen.G Global Academy,BO3 G2,0.13,67,28.5,31.63,31.75,3.25,0.1499,-0.3499,over,EV + edge,over,true,0.8,3.51
map-25pct,LCKCL,2026-05-19,BNK FEARX Youth vs HANJIN BRION Challengers,BO3 G1,-0.06,27,29.5,28.79,28.72,-0.78,-0.1608,-0.0392,,EV baixo,under,,0,-0.4
map-25pct,LCKCL,2026-05-19,HANJIN BRION Challengers vs BNK FEARX Youth,BO3 G2,0.13,43,28.5,29.41,29.54,1.04,-0.0186,-0.1814,,EV baixo,over,,0,0.92
map-25pct,LCKCL,2026-05-19,KT Rolster Challengers vs Nongshim Esports Academy,BO3 G1,-0.06,37,30.5,28.91,28.84,-1.66,-0.2292,0.0292,,EV baixo,over,,0,-1.13
map-25pct,LCKCL,2026-05-19,Nongshim Esports Academy vs KT Rolster Challengers,BO3 G2,0.13,38,30.5,30.06,30.18,-0.32,-0.1249,-0.0751,,EV baixo,over,,0,-0.28
map-25pct,LCKCL,2026-05-19,KT Rolster Challengers vs Nongshim Esports Academy,BO3 G3,-0.25,30,31.5,31.7,31.45,-0.05,-0.104,-0.096,,EV baixo,under,,0,-0.11
map-25pct,LCKCL,2026-05-21,Dplus KIA Challengers vs KRX Challengers,BO3 G1,-0.06,21,29.5,29.18,29.12,-0.38,-0.1296,-0.0704,,EV baixo,under,,0,-0.19
map-25pct,LCKCL,2026-05-21,Dplus KIA Challengers vs KRX Challengers,BO3 G2,0.13,24,28.5,28.15,28.27,-0.23,-0.1177,-0.0823,,EV baixo,under,,0,-0.08
map-25pct,LCKCL,2026-05-21,DN SOOPers Challengers vs Hanwha Life Esports Challengers,BO3 G1,-0.06,26,30.5,29.54,29.47,-1.03,-0.1804,-0.0196,,EV baixo,under,,0,-0.6
map-25pct,LCKCL,2026-05-21,DN SOOPers Challengers vs Hanwha Life Esports Challengers,BO3 G2,0.13,19,29.5,30.79,30.92,1.42,0.011,-0.211,,EV baixo,under,,0,1.29
map-25pct,LCKCL,2026-05-21,Gen.G Global Academy vs Nongshim Esports Academy,BO3 G1,-0.06,24,30.5,31.52,31.45,0.95,-0.0253,-0.1747,,EV baixo,under,,0,0.74
map-25pct,LCKCL,2026-05-21,Nongshim Esports Academy vs Gen.G Global Academy,BO3 G2,0.13,54,29.5,30.86,30.99,1.49,0.0162,-0.2162,,EV baixo,over,,0,1.45
map-25pct,LCKCL,2026-05-22,BNK FEARX Youth vs KT Rolster Challengers,BO3 G1,-0.06,37,30.5,30.44,30.38,-0.12,-0.1096,-0.0904,,EV baixo,over,,0,-0.5
map-25pct,LCKCL,2026-05-22,KT Rolster Challengers vs BNK FEARX Youth,BO3 G2,0.13,51,31.5,31.75,31.87,0.37,-0.0708,-0.1292,,EV baixo,over,,0,-0.12
map-25pct,LCKCL,2026-05-22,BNK FEARX Youth vs KT Rolster Challengers,BO3 G3,-0.25,38,35.5,35.37,35.12,-0.38,-0.1299,-0.0701,,EV baixo,over,,0,-0.01
map-25pct,LCKCL,2026-05-22,HANJIN BRION Challengers vs T1 Esports Academy,BO3 G1,-0.06,31,34.5,33.3,33.24,-1.26,-0.1984,-0.0016,,EV baixo,under,,0,-0.82
map-25pct,LCKCL,2026-05-22,HANJIN BRION Challengers vs T1 Esports Academy,BO3 G2,0.13,46,32.5,31.13,31.26,-1.24,-0.197,-0.003,,EV baixo,over,,0,-1.12
map-25pct,LCKCL,2026-05-25,Hanwha Life Esports Challengers vs Dplus KIA Challengers,BO3 G1,-0.06,24,32.5,30.34,30.27,-2.23,-0.2729,0.0729,under,EV + edge,under,true,0.8,-1.81
map-25pct,LCKCL,2026-05-25,Dplus KIA Challengers vs Hanwha Life Esports Challengers,BO3 G2,0.13,43,30.5,29.98,30.1,-0.4,-0.1311,-0.0689,,EV baixo,over,,0,-0.59
map-25pct,LCKCL,2026-05-25,T1 Esports Academy vs BNK FEARX Youth,BO3 G1,-0.06,34,34.5,32.51,32.44,-2.06,-0.26,0.06,under,EV + edge,under,true,0.8,-1.5
map-25pct,LCKCL,2026-05-25,BNK FEARX Youth vs T1 Esports Academy,BO3 G2,0.13,28,33.5,32.28,32.41,-1.09,-0.1855,-0.0145,,EV baixo,under,,0,-1.56
map-25pct,LCKCL,2026-05-25,T1 Esports Academy vs BNK FEARX Youth,BO3 G3,-0.25,25,33.5,32.49,32.24,-1.26,-0.1987,-0.0013,,EV baixo,under,,0,-0.67
map-25pct,LCKCL,2026-05-25,HANJIN BRION Challengers vs KRX Challengers,BO3 G1,-0.06,17,30.5,29.82,29.76,-0.74,-0.1578,-0.0422,,EV baixo,under,,0,-0.21
map-25pct,LCKCL,2026-05-25,HANJIN BRION Challengers vs KRX Challengers,BO3 G2,0.13,26,28.5,28.72,28.85,0.35,-0.0727,-0.1273,,EV baixo,under,,0,-0.21
